Date,Open,High,Low,Close,Adj Close,Volume
12/11/2020,146.550003,151.5,135.100006,139.25,139.25,26980800
12/14/2020,135,135.300003,125.160004,130,130,16966100
12/15/2020,126.690002,127.599998,121.5,124.800003,124.800003,10914400
12/16/2020,125.830002,142,124.910004,137.990005,137.990005,20409600
12/17/2020,143,152.449997,142.669998,147.050003,147.050003,15054700
12/18/2020,150.449997,159,150.300003,157.300003,157.300003,15954200
12/21/2020,155.309998,172,145.110001,163.020004,163.020004,17788100
12/22/2020,170,174.970001,161.050003,163.190002,163.190002,9872600
12/23/2020,162.813995,168.25,155.5,158.009995,158.009995,5852500
12/24/2020,159.160004,162.789993,154.112,154.839996,154.839996,3621400
12/28/2020,158.600006,163.639999,147.520004,149,149,6229200
12/29/2020,150,151.651001,143.119995,150,150,5402300
12/30/2020,151.339996,152.813004,145.600006,148.429993,148.429993,3462400
12/31/2020,146.899994,147.889999,144.509995,146.800003,146.800003,2795800
1/4/2021,150.990005,151.005005,137,139.149994,139.149994,6409900
1/5/2021,138.279999,149,137.25,148.300003,148.300003,5974200
1/6/2021,145.75,148.350006,141.110001,142.770004,142.770004,4213900
1/7/2021,146.369995,154.419998,145.261002,151.270004,151.270004,4482800
1/8/2021,153.449997,155.539993,147.25,149.770004,149.770004,4615600
1/11/2021,147.990005,150.5,144.020004,148.130005,148.130005,2801900
1/12/2021,148.080002,163.880005,143.610001,160.800003,160.800003,8123600
1/13/2021,160.809998,178.619995,159.350006,169.990005,169.990005,12529700
1/14/2021,175.539993,187.419998,174.975006,180.5,180.5,9926500
1/15/2021,184.580002,185.994995,164.860001,169.270004,169.270004,8575700
1/19/2021,173,178.600006,166.600006,173.690002,173.690002,4685400
1/20/2021,176.009995,176.309998,161,161.830002,161.830002,8517400
1/21/2021,164.990005,183.470001,155.330002,180.399994,180.399994,17618400
1/22/2021,178.089996,185.307007,175.190002,181.869995,181.869995,7136800
1/25/2021,186.050003,192.470001,170.029999,177.529999,177.529999,7472900
1/26/2021,180,193,177.300003,192.740005,192.740005,6460900
1/27/2021,187.639999,216,185.5,201.25,201.25,11019800
1/28/2021,202.600006,212.839996,187.050003,187.369995,187.369995,7077700
1/29/2021,190.710007,193.5,179.309998,183.630005,183.630005,4529800
2/1/2021,187.479996,188.820007,179.740005,180.440002,180.440002,3877400
2/2/2021,183.220001,186.479004,177.110001,179.169998,179.169998,4413600
2/3/2021,181.979996,190.899994,180,185.720001,185.720001,4169000
2/4/2021,187.070007,195.990005,186.190002,195.800003,195.800003,3631500
2/5/2021,197,197.25,190.25,195.309998,195.309998,2869700
2/8/2021,199.929993,201.960007,191.5,200.429993,200.429993,3488100
2/9/2021,199.203003,209.220001,196.160004,199.880005,199.880005,4725800
